AD7190_MODE,24
MODE,21,23,
DAT_STA,20,20,
CLK,18,19,
ZERO,16,17,
SINC3,15,15,
ZERO,14,14,
ENPAR,13,13,
ZERO,12,12,
Single,11,11,
REJ60,10,10,
FS,0,9,
